"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","16350","Удаление товара из корзины","chromium","Mon Jul 07 20:42:43 GMT 2025","failed","Mon Jul 07 20:43:00 GMT 2025","Основное управление корзиной","","",""
"","6864","Отображение 10 товаров на главной странице","chromium","Mon Jul 07 20:42:51 GMT 2025","failed","Mon Jul 07 20:42:58 GMT 2025","Сортировка товаров на главной странице","","",""
"","15","Создание задания c несуществующим полем","chromium","Mon Jul 07 20:42:43 GMT 2025","passed","Mon Jul 07 20:42:43 GMT 2025","Создание заданий","","",""
"","24","Создание задания c максимально допустимой длинной заголовка и описания","chromium","Mon Jul 07 20:42:43 GMT 2025","passed","Mon Jul 07 20:42:43 GMT 2025","Создание заданий","","",""
"","28946","Проверка сортировки по цене","chromium","Mon Jul 07 20:43:00 GMT 2025","failed","Mon Jul 07 20:43:29 GMT 2025","Сортировка товаров на главной странице","","",""
"","28","Создание задания","chromium","Mon Jul 07 20:42:43 GMT 2025","passed","Mon Jul 07 20:42:43 GMT 2025","Создание заданий","","",""
"","7377","Отображение 50 товаров на главной странице","chromium","Mon Jul 07 20:42:59 GMT 2025","failed","Mon Jul 07 20:43:06 GMT 2025","Сортировка товаров на главной странице","","",""
"","14","Создание задания c длинным заголовком","chromium","Mon Jul 07 20:42:43 GMT 2025","passed","Mon Jul 07 20:42:43 GMT 2025","Создание заданий","","",""
"","20","Создание задания c невалидным статусом","chromium","Mon Jul 07 20:42:43 GMT 2025","passed","Mon Jul 07 20:42:43 GMT 2025","Создание заданий","","",""
"","35","Создание задания c длинным описанием","chromium","Mon Jul 07 20:42:43 GMT 2025","passed","Mon Jul 07 20:42:43 GMT 2025","Создание заданий","","",""
"","7891","Добавление товара в корзину","chromium","Mon Jul 07 20:42:43 GMT 2025","passed","Mon Jul 07 20:42:51 GMT 2025","Основное управление корзиной","","",""
"","18","Создание задания через метод PUT","chromium","Mon Jul 07 20:42:43 GMT 2025","passed","Mon Jul 07 20:42:43 GMT 2025","Создание заданий","","",""
